VehicleID,Timestamp,Latitude,Longitude,Speed,Heading,Altitude,Odometer,FuelLevel
V001,2023-10-27 10:00:00,34.0522,-118.2437,65,270,150,123456,80
V001,2023-10-27 10:01:00,34.0530,-118.2445,68,272,152,123457,79
V001,2023-10-27 10:02:00,34.0538,-118.2453,70,275,155,123458,78
V002,2023-10-27 10:00:00,40.7128,-74.0060,30,90,20,54321,90
V002,2023-10-27 10:01:00,40.7135,-74.0055,32,92,22,54322,89
V002,2023-10-27 10:02:00,40.7142,-74.0050,35,95,25,54323,88
V003,2023-10-27 10:00:00,47.6062,-122.3321,45,180,50,98765,70
V003,2023-10-27 10:01:00,47.6068,-122.3328,48,182,52,98766,69
V003,2023-10-27 10:02:00,47.6074,-122.3335,50,185,55,98767,68
V001,2023-10-27 10:03:00,34.0546,-118.2461,72,278,158,123459,77
V001,2023-10-27 10:04:00,34.0554,-118.2469,75,280,160,123460,76
V002,2023-10-27 10:03:00,40.7149,-74.0045,38,98,28,54324,87
V002,2023-10-27 10:04:00,40.7156,-74.0040,40,100,30,54325,86
V003,2023-10-27 10:03:00,47.6080,-122.3342,52,188,58,98768,67
V003,2023-10-27 10:04:00,47.6086,-122.3349,55,190,60,98769,66
